编号（关联功能）,序列号,部件名（系统）,型号,品牌
FXS-YZ14,L20235225030 CD,控制器,CBM-20A,Shimadzu
FXS-YZ15,BV20341502,质谱主机,API 3200 MD,AB SCIEX
FXS-YZ15,IT1429A493,机械泵,8499365R001,Agilent
FXS-YZ15,L20705209187 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ15,L20435102793 AE,输液泵 A,LC-20AD XR,Shimadzu
FXS-YZ15,L20105336392 AE,输液泵 B,LC-20AD XR,Shimadzu
FXS-YZ15,L20645300642 AE,自动进样器,SIL-30AC MP,Shimadzu
FXS-YZ15,L20205314297 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ15,L20235225026 CD,控制器,CBM-20A,Shimadzu
FXS-YZ16,V212721605,质谱主机,API 4000,AB SCIEX
FXS-YZ16,IT1624V173,机械泵,8499225R001,Agilent
FXS-YZ16,L20705310212 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ16,L20435303851 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ16,L20435002225 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ16,L20435102426 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ16,L20435102381 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ16,L20455100900 AE,进样器 S1,SIL-20AC XR,Shimadzu
FXS-YZ16,L20455301237 AE,进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ16,L20205315067 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ16,L20235224881 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ16,L20235326415 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ16,L20235326402 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ17,WAC1553,质谱主机,Xevo TQ-S,Waters
FXS-YZ17,31001251756,机械泵,SV65BIFC 960463V3001,Oerlikon
FXS-YZ17,31001251742,机械泵,SV65BIFC 960463V3001,Oerlikon
FXS-YZ17,K15UPB535A,溶液系统,Binary solvent Manager,Waters
FXS-YZ17,M15UPA191M,进样系统,Sample Manager,Waters
FXS-YZ17,L130SM002Z,制备系统,Online spe Manager,Waters
FXS-YZ17,K15CMP430G,分离系统,Column Manager,Waters
FXS-YZ18,V212681603,质谱主机,API 4000,AB SCIEX
FXS-YZ18,IT1551V001,机械泵,8499225R001,Agilent
FXS-YZ18,L20705209009 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ18,L20435002206 AE,输液泵 S1-A,LC-20AD XR,Shimadzu
FXS-YZ18,L20435102538 AE,输液泵 S1-B,LC-20AD XR,Shimadzu
FXS-YZ18,L20435304159 AE,输液泵 S2-A,LC-20AD XR,Shimadzu
FXS-YZ18,L20435304116 AE,输液泵 S2-B,LC-20AD XR,Shimadzu
FXS-YZ18,L20175006773 AE,进样器 S1,SIL-20AC,Shimadzu
FXS-YZ18,L20455301361 AE,进样器 S2,SIL-20AC XR,Shimadzu
FXS-YZ18,L20205315385 CD,柱温箱,CTO-20A,Shimadzu
FXS-YZ18,L20235327093 CD,控制器 S1,CBM-20A,Shimadzu
FXS-YZ18,L20235326700 CD,控制器 S2,CBM-20A,Shimadzu
FXS-YZ18,L20235224741 CD,控制器 S3,CBM-20A,Shimadzu
FXS-YZ19,BB213811606,质谱主机,Triple Quad 5500,AB SCIEX
FXS-YZ19,IT18505136,机械泵,8499240,Agilent
FXS-YZ19,L20705413071 IX,脱气机,DGU-20A 5R,Shimadzu
FXS-YZ19,L20555407429 AE,输液泵 A,LC-30AD,Shimadzu
FXS-YZ19,L20555407432 AE,输液泵 B,LC-30AD,Shimadzu
FXS-YZ19,L20565403571 AE,自动进样器,SIL-30AC,Shimadzu
FXS-YZ19,L20215417083 CD,柱温箱,CTO-20AC,Shimadzu
FXS-YZ19,L20235428244 CD,控制器,CBM-20A,Shimadzu
FXS-YZ20,BV20501606,质谱主机,API 3200 MD,AB SCIEX
FXS-YZ20,MY16160003,机械泵,8499365R001,Agilent
FXS-YZ20,L20695310241 IX,脱气机,DGU-20A 3R,Shimadzu
FXS-YZ20,L20435304208 AE,输液泵 A,LC-20AD XR,Shimadzu
FXS-YZ20,L20435304210 AE,输液泵 B,LC-20AD XR,Shimadzu
FXS-YZ20,L20455301316 AE,自动进样器,SIL-20AC XR,Shimadzu
FXS-YZ20,L20215316441 CD,柱温箱,CTO-20AC,Shimadzu
FXS-YZ20,L20235327694 CD,控制器,CBM-20A,Shimadzu
FXS-YZ20,L20155315867 CD,紫外检测器,SPD-M20A,Shimadzu
FXS-YZ21,O10835400520 AE,质谱主机,LCMS-8050,Shimadzu
FXS-YZ21,169412152,机械泵,A373-15-903,Edwards
FXS-YZ21,L20695411070 IX,脱气机,DGU-20A 3R,Shimadzu
FXS-YZ21,L20435404476 AE,输液泵 A,LC-20AD XR,Shimadzu
FXS-YZ21,L20435404478 AE,输液泵 B,LC-20AD XR,Shimadzu
FXS-YZ21,L20455401446 AE,自动进样器,SIL-20AC XR,Shimadzu
FXS-YZ21,L20215417490 CD,柱温箱,CTO-20AC,Shimadzu
FXS-YZ21,L20235429028 CD,控制器,CBM-20A,Shimadzu
